Applicant_ID,Age,Gender,Education,Marital_Status,Employment_Type,Annual_Income,Credit_Score,Loan_Amount_Requested,Loan_Term_Months,Dependents,Property_Area,Approval_Status
LAPP_0230,39,Female,Undergraduate,Married,Business Owner,99193,714,331023,36,0,Semi-Urban,Rejected
LAPP_0231,46,Male,Undergraduate,Married,Salaried,47571,610,121335,60,0,Semi-Urban,Approved
LAPP_0232,23,Male,Postgraduate,Single,Self-Employed,128738,729,419444,24,0,Urban,Approved
LAPP_0233,39,Female,Postgraduate,Married,Salaried,140125,599,428625,36,1,Semi-Urban,Rejected
LAPP_0234,40,Male,Postgraduate,Single,Salaried,91783,651,122236,36,2,Urban,Approved
LAPP_0235,52,Female,Graduate,Married,Self-Employed,69802,783,141373,60,3,Rural,Approved
LAPP_0236,27,Male,Undergraduate,Married,Business Owner,56912,495,58061,24,0,Semi-Urban,Rejected
LAPP_0237,61,Female,Graduate,Married,Business Owner,88027,539,56933,24,0,Semi-Urban,Rejected
LAPP_0238,53,Male,Graduate,Married,Salaried,47572,710,34287,36,2,Urban,Approved
LAPP_0239,60,Male,Undergraduate,Married,Salaried,37087,635,140884,36,2,Urban,Rejected
LAPP_0240,59,Female,Graduate,Single,Self-Employed,76334,602,301204,60,3,Semi-Urban,Rejected
LAPP_0241,38,Female,Graduate,Married,Self-Employed,94617,562,78761,60,0,Urban,Approved
LAPP_0242,60,Male,Graduate,Married,Salaried,66183,637,110735,12,2,Rural,Rejected
LAPP_0243,21,Male,Graduate,Married,Salaried,106251,645,95676,60,0,Semi-Urban,Approved
LAPP_0244,31,Female,High School,Married,Business Owner,61467,622,210204,12,1,Urban,Rejected
LAPP_0245,48,Male,Graduate,Divorced,Salaried,113722,581,254400,36,0,Urban,Rejected
LAPP_0246,45,Female,Graduate,Single,Salaried,100789,627,269551,60,1,Semi-Urban,Approved
LAPP_0247,43,Female,Graduate,Married,Business Owner,137749,634,329177,12,1,Urban,Rejected
LAPP_0248,51,Male,Graduate,Married,Salaried,109534,707,327056,12,0,Semi-Urban,Rejected
LAPP_0249,50,Male,High School,Divorced,Salaried,24003,528,38811,36,0,Semi-Urban,Rejected
LAPP_0250,62,Female,Graduate,Married,Self-Employed,70197,648,68879,60,0,Urban,Approved
LAPP_0251,55,Male,Undergraduate,Single,Salaried,68770,821,38626,36,0,Semi-Urban,Approved
LAPP_0252,27,Male,Undergraduate,Married,Self-Employed,52515,524,108176,36,0,Semi-Urban,Rejected
LAPP_0253,36,Female,High School,Divorced,Salaried,40526,551,149031,60,0,Rural,Rejected
LAPP_0254,46,Female,Undergraduate,Single,Salaried,74943,627,117543,60,2,Semi-Urban,Approved
LAPP_0255,22,Female,Postgraduate,Single,Salaried,87524,418,103790,60,0,Semi-Urban,Rejected
LAPP_0256,21,Female,Graduate,Married,Unemployed,9508,472,35570,36,0,Urban,Rejected
LAPP_0257,32,Female,Graduate,Married,Salaried,69395,641,60309,12,3,Semi-Urban,Rejected
LAPP_0258,25,Male,Graduate,Married,Salaried,82534,611,56230,24,0,Urban,Approved
LAPP_0259,57,Male,Postgraduate,Married,Salaried,80672,719,288640,60,2,Semi-Urban,Rejected
LAPP_0260,52,Male,Graduate,Married,Salaried,86917,630,256681,60,1,Urban,Rejected
LAPP_0261,29,Male,Graduate,Married,Salaried,86876,606,171774,84,3,Semi-Urban,Approved
LAPP_0262,61,Female,Graduate,Single,Salaried,60293,586,188910,24,0,Urban,Rejected
LAPP_0263,55,Male,Graduate,Single,Salaried,102388,636,316894,24,2,Semi-Urban,Rejected
LAPP_0264,39,Male,Graduate,Married,Salaried,90662,555,58042,24,0,Semi-Urban,Rejected
LAPP_0265,36,Male,High School,Married,Self-Employed,26238,583,75220,24,3,Semi-Urban,Rejected
LAPP_0266,23,Male,Graduate,Divorced,Self-Employed,62101,540,170346,36,0,Rural,Rejected
LAPP_0267,40,Male,Undergraduate,Married,Salaried,74998,544,290484,84,1,Semi-Urban,Rejected
LAPP_0268,44,Male,Undergraduate,Single,Salaried,72869,586,282963,36,0,Urban,Rejected
LAPP_0269,53,Male,Graduate,Married,Self-Employed,61927,662,112849,36,3,Semi-Urban,Rejected
LAPP_0270,44,Male,Graduate,Married,Self-Employed,48045,624,123208,36,1,Semi-Urban,Rejected
LAPP_0271,31,Male,Graduate,Married,Salaried,103024,687,102483,12,0,Semi-Urban,Rejected
LAPP_0272,28,Female,Graduate,Married,Business Owner,86524,563,63387,60,0,Rural,Approved
LAPP_0273,56,Male,Undergraduate,Single,Salaried,60574,632,122040,36,0,Urban,Approved
LAPP_0274,58,Male,Graduate,Single,Salaried,77831,764,226845,24,0,Rural,Rejected
LAPP_0275,60,Female,Graduate,Married,Salaried,100880,760,250905,36,0,Urban,Rejected
LAPP_0276,40,Male,Undergraduate,Divorced,Business Owner,80509,543,161323,36,3,Semi-Urban,Rejected
LAPP_0277,55,Female,High School,Married,Salaried,21796,535,73308,12,1,Urban,Rejected
